timestamp,req_id,payload_bytes,mode,backend_id,status_code,e2e_ms,gateway_overhead_ms,
1775205000.0,gw16_00000,1184972,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,341.836,16.238,
1775205000.0,gw16_00001,1184972,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,381.689,8.184,
1775205000.0,gw16_00002,1184972,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,336.387,17.159,
1775205000.0,gw16_00003,1184972,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,364.298,12.232,
1775205000.0,gw16_00004,1184972,gateway_strawman,sp26-cs525-0609.cs.illinois.edu,200,355.614,6.31,
1775205000.0,gw16_00005,1184972,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,186.022,10.304,
1775205000.0,gw16_00006,1184972,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,481.605,13.632,
1775205000.0,gw16_00007,1184972,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,221.044,10.874,
1775205000.0,gw16_00008,1184972,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,362.112,9.183,
1775205000.0,gw16_00009,1184972,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,587.524,12.225,
1775205000.0,gw16_00010,1184972,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,274.568,8.177,
1775205000.0,gw16_00011,1184972,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,288.824,12.507,
1775205000.0,gw16_00012,1184972,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,407.298,13.387,
1775205000.0,gw16_00013,1184972,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,344.468,14.513,
1775205000.0,gw16_00014,1184972,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,528.52,13.182,
1775205000.0,gw16_00015,1184972,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,660.618,10.968,
1775205000.186022,gw16_00016,1184972,gateway_strawman,sp26-cs525-0609.cs.illinois.edu,200,253.183,13.344,
1775205000.221044,gw16_00017,1184972,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,344.154,9.842,
1775205000.274568,gw16_00018,1184972,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,272.792,14.693,
1775205000.288824,gw16_00019,1184972,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,225.471,10.311,
1775205000.336387,gw16_00020,1184972,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,423.206,9.416,
1775205000.341836,gw16_00021,1184972,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,284.498,8.447,
1775205000.344468,gw16_00022,1184972,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,451.256,7.722,
1775205000.355614,gw16_00023,1184972,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,602.116,11.97,
1775205000.362112,gw16_00024,1184972,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,639.928,6.073,
1775205000.364298,gw16_00025,1184972,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,187.874,15.656,
1775205000.38169,gw16_00026,1184972,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,239.008,8.556,
1775205000.407298,gw16_00027,1184972,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,274.958,14.012,
1775205000.439205,gw16_00028,1184972,gateway_strawman,sp26-cs525-0609.cs.illinois.edu,200,311.322,4.89,
1775205000.481605,gw16_00029,1184972,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,308.821,12.987,
1775205000.514295,gw16_00030,1184972,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,307.872,9.342,
1775205000.52852,gw16_00031,1184972,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,565.755,8.542,
1775205000.547359,gw16_00032,1184972,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,310.319,22.298,
1775205000.552171,gw16_00033,1184972,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,319.642,10.907,
1775205000.565198,gw16_00034,1184972,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,352.582,6.123,
1775205000.587524,gw16_00035,1184972,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,282.903,11.393,
1775205000.620698,gw16_00036,1184972,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,494.865,9.063,
1775205000.626334,gw16_00037,1184972,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,606.647,13.694,
1775205000.660619,gw16_00038,1184972,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,433.844,14.023,
1775205000.682256,gw16_00039,1184972,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,310.891,9.762,
1775205000.750526,gw16_00040,1184972,gateway_strawman,sp26-cs525-0609.cs.illinois.edu,200,262.152,7.168,
1775205000.759593,gw16_00041,1184972,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,266.483,9.591,
1775205000.790426,gw16_00042,1184972,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,292.25,6.182,
1775205000.795724,gw16_00043,1184972,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,457.052,16.823,
1775205000.822167,gw16_00044,1184972,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,518.744,7.722,
1775205000.857678,gw16_00045,1184972,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,393.341,13.541,
1775205000.870427,gw16_00046,1184972,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,445.217,7.432,
1775205000.871814,gw16_00047,1184972,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,462.327,12.767,
