timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
2026-04-03T09:10:00.000-05:00,req_mpe_0000001,2136,p2c_pewma,sp26-cs525-0613,200,172.635,10.525,,sp26-cs525-0613.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000002,2247,p2c_pewma,sp26-cs525-0615,200,187.289,10.581,,sp26-cs525-0615.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000003,2148,p2c_pewma,sp26-cs525-0614,200,252.131,11.157,,sp26-cs525-0614.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000004,2195,p2c_pewma,sp26-cs525-0606,200,245.31,11.409,,sp26-cs525-0606.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000005,2238,p2c_pewma,sp26-cs525-0617,200,181.685,11.064,,sp26-cs525-0617.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000006,2265,p2c_pewma,sp26-cs525-0609,200,159.894,13.206,,sp26-cs525-0609.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000007,2144,p2c_pewma,sp26-cs525-0605,200,169.02,10.74,,sp26-cs525-0605.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000008,2222,p2c_pewma,sp26-cs525-0607,200,148.984,12.709,,sp26-cs525-0607.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000009,2142,p2c_pewma,sp26-cs525-0619,200,188.349,11.123,,sp26-cs525-0619.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000010,2175,p2c_pewma,sp26-cs525-0609,200,282.97,13.959,,sp26-cs525-0609.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000011,2196,p2c_pewma,sp26-cs525-0613,200,249.373,13.587,,sp26-cs525-0613.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000012,2246,p2c_pewma,sp26-cs525-0608,200,202.639,11.883,,sp26-cs525-0608.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000013,2185,p2c_pewma,sp26-cs525-0607,200,306.166,14.204,,sp26-cs525-0607.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000014,2220,p2c_pewma,sp26-cs525-0612,200,160.148,9.455,,sp26-cs525-0612.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000015,2249,p2c_pewma,sp26-cs525-0612,200,314.046,14.267,,sp26-cs525-0612.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000016,2117,p2c_pewma,sp26-cs525-0615,200,318.298,11.398,,sp26-cs525-0615.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000017,2191,p2c_pewma,sp26-cs525-0608,200,324.908,14.655,,sp26-cs525-0608.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000018,2129,p2c_pewma,sp26-cs525-0617,200,232.884,10.417,,sp26-cs525-0617.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000019,2177,p2c_pewma,sp26-cs525-0605,200,334.492,5.0,,sp26-cs525-0605.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000020,2117,p2c_pewma,sp26-cs525-0619,200,314.937,13.3,,sp26-cs525-0619.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000021,2236,p2c_pewma,sp26-cs525-0618,200,219.86,12.314,,sp26-cs525-0618.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000022,2215,p2c_pewma,sp26-cs525-0617,200,352.413,11.579,,sp26-cs525-0617.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000023,2192,p2c_pewma,sp26-cs525-0606,200,303.778,12.955,,sp26-cs525-0606.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000024,2135,p2c_pewma,sp26-cs525-0614,200,295.634,11.961,,sp26-cs525-0614.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
2026-04-03T09:10:00.000-05:00,req_mpe_0000025,2228,p2c_pewma,sp26-cs525-0618,200,343.442,12.932,,sp26-cs525-0618.cs.illinois.edu,2026-04-03T09:10:00.000-05:00,0.000,p2c_pewma
