Timestamp_ISO,Node,Status,Queue_Depth
2026-03-30T19:24:05.685+00:00,gpu2,UP,0
2026-03-30T19:24:05.788+00:00,gpu2,UP,0
2026-03-30T19:24:05.888+00:00,gpu2,UP,0
2026-03-30T19:24:05.988+00:00,gpu2,UP,0
2026-03-30T19:24:06.088+00:00,gpu2,UP,0
2026-03-30T19:24:06.188+00:00,gpu2,UP,0
2026-03-30T19:24:06.288+00:00,gpu2,UP,0
2026-03-30T19:24:06.388+00:00,gpu2,UP,0
2026-03-30T19:24:06.488+00:00,gpu2,UP,0
2026-03-30T19:24:06.589+00:00,gpu2,UP,0
2026-03-30T19:24:06.689+00:00,gpu2,UP,0
2026-03-30T19:24:06.789+00:00,gpu2,UP,0
2026-03-30T19:24:06.889+00:00,gpu2,UP,0
2026-03-30T19:24:06.989+00:00,gpu2,UP,0
2026-03-30T19:24:07.089+00:00,gpu2,UP,0
2026-03-30T19:24:07.189+00:00,gpu2,UP,0
2026-03-30T19:24:07.289+00:00,gpu2,UP,0
2026-03-30T19:24:07.390+00:00,gpu2,UP,0
2026-03-30T19:24:07.490+00:00,gpu2,UP,0
2026-03-30T19:24:07.590+00:00,gpu2,UP,0
2026-03-30T19:24:07.690+00:00,gpu2,UP,0
2026-03-30T19:24:07.790+00:00,gpu2,UP,0
2026-03-30T19:24:07.890+00:00,gpu2,UP,0
2026-03-30T19:24:07.990+00:00,gpu2,UP,0
2026-03-30T19:24:08.091+00:00,gpu2,UP,0
2026-03-30T19:24:08.191+00:00,gpu2,UP,0
2026-03-30T19:24:08.291+00:00,gpu2,UP,0
2026-03-30T19:24:08.391+00:00,gpu2,UP,0
2026-03-30T19:24:08.491+00:00,gpu2,UP,0
2026-03-30T19:24:08.591+00:00,gpu2,UP,0
2026-03-30T19:24:08.691+00:00,gpu2,UP,0
2026-03-30T19:24:08.792+00:00,gpu2,UP,0
2026-03-30T19:24:08.892+00:00,gpu2,UP,0
2026-03-30T19:24:08.992+00:00,gpu2,UP,0
2026-03-30T19:24:09.092+00:00,gpu2,UP,0
2026-03-30T19:24:09.192+00:00,gpu2,UP,0
2026-03-30T19:24:09.292+00:00,gpu2,UP,0
2026-03-30T19:24:09.392+00:00,gpu2,UP,0
2026-03-30T19:24:09.493+00:00,gpu2,UP,0
2026-03-30T19:24:09.593+00:00,gpu2,UP,0
2026-03-30T19:24:09.693+00:00,gpu2,UP,0
2026-03-30T19:24:09.793+00:00,gpu2,UP,0
2026-03-30T19:24:09.893+00:00,gpu2,UP,0
2026-03-30T19:24:09.993+00:00,gpu2,UP,0
2026-03-30T19:24:10.093+00:00,gpu2,UP,0
2026-03-30T19:24:10.193+00:00,gpu2,UP,0
2026-03-30T19:24:10.294+00:00,gpu2,UP,0
2026-03-30T19:24:10.394+00:00,gpu2,UP,0
2026-03-30T19:24:10.494+00:00,gpu2,UP,0
2026-03-30T19:24:10.594+00:00,gpu2,UP,0
2026-03-30T19:24:10.694+00:00,gpu2,UP,0
2026-03-30T19:24:10.794+00:00,gpu2,UP,0
2026-03-30T19:24:10.894+00:00,gpu2,UP,0
2026-03-30T19:24:10.994+00:00,gpu2,UP,0
2026-03-30T19:24:11.095+00:00,gpu2,UP,0
2026-03-30T19:24:11.195+00:00,gpu2,UP,0
2026-03-30T19:24:11.295+00:00,gpu2,UP,0
2026-03-30T19:24:11.395+00:00,gpu2,UP,0
2026-03-30T19:24:11.495+00:00,gpu2,UP,0
2026-03-30T19:24:11.595+00:00,gpu2,UP,0
2026-03-30T19:24:11.695+00:00,gpu2,UP,0
