timestamp,req_id,payload_bytes,mode,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
1773907200.004464,gt32_00001,3564,gateway_strawman,sp26-cs525-0609.cs.illinois.edu,503,956.363,5.314,,sp26-cs525-0609.cs.illinois.edu,1773907200.004464,0.000,gateway_strawman
1773907200.040627,gt32_00002,3516,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,1477.341,3.16,,sp26-cs525-0607.cs.illinois.edu,1773907200.040627,0.036,gateway_strawman
1773907200.084155,gt32_00003,3500,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,1283.377,3.664,,sp26-cs525-0618.cs.illinois.edu,1773907200.084155,0.080,gateway_strawman
1773907200.124736,gt32_00004,3548,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,987.87,4.071,,sp26-cs525-0615.cs.illinois.edu,1773907200.124736,0.120,gateway_strawman
1773907200.142885,gt32_00005,3516,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,1537.589,3.902,,sp26-cs525-0608.cs.illinois.edu,1773907200.142885,0.138,gateway_strawman
1773907200.20135,gt32_00006,3564,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,1261.151,2.639,,sp26-cs525-0607.cs.illinois.edu,1773907200.20135,0.197,gateway_strawman
1773907200.226462,gt32_00007,3532,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,1125.581,5.661,,sp26-cs525-0608.cs.illinois.edu,1773907200.226462,0.222,gateway_strawman
1773907200.257085,gt32_00008,3548,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,1046.035,3.955,,sp26-cs525-0607.cs.illinois.edu,1773907200.257085,0.253,gateway_strawman
1773907200.301701,gt32_00009,3548,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,999.34,3.502,,sp26-cs525-0613.cs.illinois.edu,1773907200.301701,0.297,gateway_strawman
1773907200.337644,gt32_00010,3500,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,1559.879,3.311,,sp26-cs525-0606.cs.illinois.edu,1773907200.337644,0.333,gateway_strawman
1773907200.377581,gt32_00011,3564,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,1259.727,3.444,,sp26-cs525-0612.cs.illinois.edu,1773907200.377581,0.373,gateway_strawman
1773907200.390061,gt32_00012,3516,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,1394.275,3.643,,sp26-cs525-0618.cs.illinois.edu,1773907200.390061,0.386,gateway_strawman
1773907200.445076,gt32_00013,3548,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,784.755,3.319,,sp26-cs525-0618.cs.illinois.edu,1773907200.445076,0.441,gateway_strawman
1773907200.462507,gt32_00014,3564,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,1343.903,2.751,,sp26-cs525-0615.cs.illinois.edu,1773907200.462507,0.458,gateway_strawman
1773907200.498864,gt32_00015,3532,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,1267.289,2.912,,sp26-cs525-0617.cs.illinois.edu,1773907200.498864,0.494,gateway_strawman
1773907200.536654,gt32_00016,3516,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,916.52,4.956,,sp26-cs525-0608.cs.illinois.edu,1773907200.536654,0.532,gateway_strawman
1773907200.584123,gt32_00017,3548,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,1048.204,6.009,,sp26-cs525-0617.cs.illinois.edu,1773907200.584123,0.580,gateway_strawman
1773907200.622653,gt32_00018,3532,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,1192.076,6.506,,sp26-cs525-0608.cs.illinois.edu,1773907200.622653,0.618,gateway_strawman
1773907200.661603,gt32_00019,3548,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,876.521,2.975,,sp26-cs525-0608.cs.illinois.edu,1773907200.661603,0.657,gateway_strawman
1773907200.69216,gt32_00020,3548,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,1140.038,2.678,,sp26-cs525-0614.cs.illinois.edu,1773907200.69216,0.688,gateway_strawman
1773907200.736145,gt32_00021,3564,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,875.39,3.011,,sp26-cs525-0617.cs.illinois.edu,1773907200.736145,0.732,gateway_strawman
1773907200.758292,gt32_00022,3532,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,978.816,2.485,,sp26-cs525-0615.cs.illinois.edu,1773907200.758292,0.754,gateway_strawman
1773907200.781729,gt32_00023,3548,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,1070.78,4.912,,sp26-cs525-0608.cs.illinois.edu,1773907200.781729,0.777,gateway_strawman
1773907200.838751,gt32_00024,3532,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,1283.223,5.534,,sp26-cs525-0615.cs.illinois.edu,1773907200.838751,0.834,gateway_strawman
1773907200.854984,gt32_00025,3548,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,925.576,6.323,,sp26-cs525-0614.cs.illinois.edu,1773907200.854984,0.851,gateway_strawman
1773907200.882407,gt32_00026,3532,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,937.281,2.322,,sp26-cs525-0614.cs.illinois.edu,1773907200.882407,0.878,gateway_strawman
1773907200.929319,gt32_00027,3516,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,946.907,4.395,,sp26-cs525-0613.cs.illinois.edu,1773907200.929319,0.925,gateway_strawman
1773907200.981159,gt32_00028,3564,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,1109.657,6.2,,sp26-cs525-0608.cs.illinois.edu,1773907200.981159,0.977,gateway_strawman
1773907201.009281,gt32_00029,3548,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,1527.336,4.326,,sp26-cs525-0619.cs.illinois.edu,1773907201.009281,1.005,gateway_strawman
1773907201.035519,gt32_00030,3516,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,967.385,3.548,,sp26-cs525-0615.cs.illinois.edu,1773907201.035519,1.031,gateway_strawman
1773907201.060385,gt32_00031,3532,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,1395.403,4.299,,sp26-cs525-0605.cs.illinois.edu,1773907201.060385,1.056,gateway_strawman
1773907201.10151,gt32_00032,3532,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,1154.948,4.502,,sp26-cs525-0614.cs.illinois.edu,1773907201.10151,1.097,gateway_strawman
1773907201.144337,gt32_00033,3516,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,1111.429,2.409,,sp26-cs525-0605.cs.illinois.edu,1773907201.144337,1.140,gateway_strawman
1773907201.162804,gt32_00034,3548,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,1041.389,3.318,,sp26-cs525-0617.cs.illinois.edu,1773907201.162804,1.158,gateway_strawman
1773907201.199304,gt32_00035,3532,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,1234.929,3.924,,sp26-cs525-0606.cs.illinois.edu,1773907201.199304,1.195,gateway_strawman
1773907201.230335,gt32_00036,3500,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,1367.105,3.754,,sp26-cs525-0608.cs.illinois.edu,1773907201.230335,1.226,gateway_strawman
1773907201.282493,gt32_00037,3532,gateway_strawman,sp26-cs525-0614.cs.illinois.edu,200,863.508,3.314,,sp26-cs525-0614.cs.illinois.edu,1773907201.282493,1.278,gateway_strawman
1773907201.31912,gt32_00038,3564,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,1290.732,8.386,,sp26-cs525-0608.cs.illinois.edu,1773907201.31912,1.315,gateway_strawman
1773907201.336054,gt32_00039,3532,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,1056.166,7.532,,sp26-cs525-0615.cs.illinois.edu,1773907201.336054,1.332,gateway_strawman
1773907201.383356,gt32_00040,3500,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,949.917,4.873,,sp26-cs525-0612.cs.illinois.edu,1773907201.383356,1.379,gateway_strawman
1773907201.424325,gt32_00041,3532,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,969.893,6.096,,sp26-cs525-0613.cs.illinois.edu,1773907201.424325,1.420,gateway_strawman
1773907201.452294,gt32_00042,3548,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,938.673,2.728,,sp26-cs525-0612.cs.illinois.edu,1773907201.452294,1.448,gateway_strawman
1773907201.496337,gt32_00043,3516,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,1375.053,3.989,,sp26-cs525-0615.cs.illinois.edu,1773907201.496337,1.492,gateway_strawman
1773907201.532853,gt32_00044,3548,gateway_strawman,sp26-cs525-0618.cs.illinois.edu,200,1038.151,4.016,,sp26-cs525-0618.cs.illinois.edu,1773907201.532853,1.528,gateway_strawman
1773907201.558623,gt32_00045,3564,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,1358.008,3.303,,sp26-cs525-0612.cs.illinois.edu,1773907201.558623,1.554,gateway_strawman
1773907201.608375,gt32_00046,3564,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,1594.304,3.774,,sp26-cs525-0607.cs.illinois.edu,1773907201.608375,1.604,gateway_strawman
1773907201.630033,gt32_00047,3532,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,1138.073,6.773,,sp26-cs525-0612.cs.illinois.edu,1773907201.630033,1.626,gateway_strawman
1773907201.677752,gt32_00048,3516,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,895.062,4.747,,sp26-cs525-0619.cs.illinois.edu,1773907201.677752,1.673,gateway_strawman
1773907201.71003,gt32_00049,3532,gateway_strawman,sp26-cs525-0609.cs.illinois.edu,200,1622.787,4.697,,sp26-cs525-0609.cs.illinois.edu,1773907201.71003,1.706,gateway_strawman
1773907201.735966,gt32_00050,3548,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,1364.719,3.623,,sp26-cs525-0606.cs.illinois.edu,1773907201.735966,1.732,gateway_strawman
1773907201.789743,gt32_00051,3532,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,1338.777,5.053,,sp26-cs525-0606.cs.illinois.edu,1773907201.789743,1.785,gateway_strawman
1773907201.807376,gt32_00052,3564,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,795.024,3.804,,sp26-cs525-0608.cs.illinois.edu,1773907201.807376,1.803,gateway_strawman
1773907201.850305,gt32_00053,3532,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,1191.31,7.011,,sp26-cs525-0612.cs.illinois.edu,1773907201.850305,1.846,gateway_strawman
1773907201.875079,gt32_00054,3516,gateway_strawman,sp26-cs525-0612.cs.illinois.edu,200,1744.628,6.175,,sp26-cs525-0612.cs.illinois.edu,1773907201.875079,1.871,gateway_strawman
1773907201.924131,gt32_00055,3532,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,751.078,4.618,,sp26-cs525-0619.cs.illinois.edu,1773907201.924131,1.920,gateway_strawman
1773907201.94119,gt32_00056,3532,gateway_strawman,sp26-cs525-0617.cs.illinois.edu,200,1328.346,4.462,,sp26-cs525-0617.cs.illinois.edu,1773907201.94119,1.937,gateway_strawman
1773907201.994342,gt32_00057,3548,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,1275.588,3.489,,sp26-cs525-0605.cs.illinois.edu,1773907201.994342,1.990,gateway_strawman
1773907202.026934,gt32_00058,3532,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,1359.787,3.616,,sp26-cs525-0613.cs.illinois.edu,1773907202.026934,2.022,gateway_strawman
1773907202.042825,gt32_00059,3516,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,1300.604,7.074,,sp26-cs525-0606.cs.illinois.edu,1773907202.042825,2.038,gateway_strawman
1773907202.098735,gt32_00060,3548,gateway_strawman,sp26-cs525-0607.cs.illinois.edu,200,1201.217,5.273,,sp26-cs525-0607.cs.illinois.edu,1773907202.098735,2.094,gateway_strawman
1773907202.117188,gt32_00061,3516,gateway_strawman,sp26-cs525-0605.cs.illinois.edu,200,1534.598,3.264,,sp26-cs525-0605.cs.illinois.edu,1773907202.117188,2.113,gateway_strawman
1773907202.160396,gt32_00062,3548,gateway_strawman,sp26-cs525-0608.cs.illinois.edu,200,991.519,3.702,,sp26-cs525-0608.cs.illinois.edu,1773907202.160396,2.156,gateway_strawman
1773907202.184706,gt32_00063,3532,gateway_strawman,sp26-cs525-0615.cs.illinois.edu,200,1418.74,4.735,,sp26-cs525-0615.cs.illinois.edu,1773907202.184706,2.180,gateway_strawman
1773907202.226759,gt32_00064,3516,gateway_strawman,sp26-cs525-0613.cs.illinois.edu,200,1099.662,5.813,,sp26-cs525-0613.cs.illinois.edu,1773907202.226759,2.222,gateway_strawman
1773907202.263648,gt32_00065,3532,gateway_strawman,sp26-cs525-0619.cs.illinois.edu,200,920.395,3.562,,sp26-cs525-0619.cs.illinois.edu,1773907202.263648,2.259,gateway_strawman
1773907202.283977,gt32_00066,3500,gateway_strawman,sp26-cs525-0606.cs.illinois.edu,200,892.845,3.858,,sp26-cs525-0606.cs.illinois.edu,1773907202.283977,2.280,gateway_strawman
