timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body
0.001418,cv_resnet_graypulse_c16_00000001,602633,graypulse,sp26-cs525-0609,200,161.985,18.801,
0.010318,cv_resnet_graypulse_c16_00000002,602039,graypulse,sp26-cs525-0605,200,139.82,16.616,
0.011389,cv_resnet_graypulse_c16_00000003,604755,graypulse,sp26-cs525-0608,200,151.249,18.082,
0.02013,cv_resnet_graypulse_c16_00000004,602547,graypulse,sp26-cs525-0619,200,144.915,18.445,
0.02908,cv_resnet_graypulse_c16_00000005,603473,graypulse,sp26-cs525-0619,200,180.087,12.638,
0.04422,cv_resnet_graypulse_c16_00000006,605096,graypulse,sp26-cs525-0617,200,147.067,20.15,
0.058032,cv_resnet_graypulse_c16_00000007,601458,graypulse,sp26-cs525-0615,200,133.302,16.766,
0.059477,cv_resnet_graypulse_c16_00000008,603715,graypulse,sp26-cs525-0612,200,127.14,19.899,
0.062884,cv_resnet_graypulse_c16_00000009,604122,graypulse,sp26-cs525-0609,200,167.163,21.836,
0.084238,cv_resnet_graypulse_c16_00000010,603696,graypulse,sp26-cs525-0606,200,158.275,21.459,
0.103163,cv_resnet_graypulse_c16_00000011,602344,graypulse,sp26-cs525-0613,200,147.966,18.214,
0.10479,cv_resnet_graypulse_c16_00000012,601985,graypulse,sp26-cs525-0612,200,154.064,16.593,
0.118957,cv_resnet_graypulse_c16_00000013,602915,graypulse,sp26-cs525-0614,200,173.28,18.088,
0.121224,cv_resnet_graypulse_c16_00000014,605218,graypulse,sp26-cs525-0615,200,139.949,12.629,
0.122987,cv_resnet_graypulse_c16_00000015,604784,graypulse,sp26-cs525-0608,200,158.737,18.145,
0.130766,cv_resnet_graypulse_c16_00000016,604621,graypulse,sp26-cs525-0619,200,167.646,19.077,
0.155151,cv_resnet_graypulse_c16_00000017,603596,graypulse,sp26-cs525-0605,200,148.724,17.325,
0.159332,cv_resnet_graypulse_c16_00000018,604764,graypulse,sp26-cs525-0606,200,149.046,17.968,
0.170297,cv_resnet_graypulse_c16_00000019,602795,graypulse,sp26-cs525-0609,200,149.092,14.405,
0.182319,cv_resnet_graypulse_c16_00000020,603119,graypulse,sp26-cs525-0608,200,146.864,17.894,
0.193939,cv_resnet_graypulse_c16_00000021,602948,graypulse,sp26-cs525-0613,200,178.637,24.159,
0.212969,cv_resnet_graypulse_c16_00000022,604209,graypulse,sp26-cs525-0606,200,162.84,19.463,
0.240661,cv_resnet_graypulse_c16_00000023,601830,graypulse,sp26-cs525-0618,200,175.592,19.559,
