current_path,filename,extension,byte_size,sha256,contributor,collection_script,experiment_family,experiment_id,run_id,source_machine,target_machine,model_workload,fault_type,timestamp_start,timestamp_end,duration,row_count,delimiter,encoding,column_names,timestamp_format,timestamp_precision,sampling_interval,numeric_precision,units,existing_tags,provenance_classification,evidence_for_classification,proposed_action,confidence,manual_review_required
paper_extracted_text.txt,paper_extracted_text.txt,.txt,41983,cc8362d9f97d5a68f3a9aa3064b90d34a76d26e693a1300b18618a4fdad73288,Jisheng Jiang (jisheng3),scripts/campaign_a_orchestrator.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,paper_extracted_text,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,0,N/A,utf-8,N/A,relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",none,UNKNOWN,,flag_for_manual_review,MEDIUM,True
archive/20260306_motivation_test/raw_requests.csv,raw_requests.csv,.csv,175,dd863e7b562c0b3d1d895ba212cb8511c26311fc183e2025ec1043a8fd71c395,Jisheng Jiang / Maojie Xu,archive/20260306_motivation_test/generate_midterm_plots.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,raw_requests,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,13,",",utf-8,"time_sec,p99_latency_ms,health_status",relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",legacy_prototype,SYNTHETIC_PROTOTYPE,Located in archive/ prototype directory with 1s coarse simulation logs.,archive_to_synthetic_prototypes,HIGH,False
archive/20260306_motivation_test/raw_requests_1s_resolution.csv,raw_requests_1s_resolution.csv,.csv,49334,9e005bc295e0ed9c6894c7fdc2c4617eaac35742ffc605779f0c44530a362284,Jisheng Jiang / Maojie Xu,archive/20260306_motivation_test/generate_midterm_plots.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,raw_requests_1s_resolution,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,1200,",",utf-8,"time_sec,timestamp,p99_latency_ms,health_status,queue_depth",relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",legacy_prototype,SYNTHETIC_PROTOTYPE,Located in archive/ prototype directory with 1s coarse simulation logs.,archive_to_synthetic_prototypes,HIGH,False
archive/20260306_motivation_test/summary_table.csv,summary_table.csv,.csv,769,f814a70342ce71f1c492d6c84eb5cade0e7bde5b447c0fdefce7fc7d109cf54b,Jisheng Jiang / Maojie Xu,archive/20260306_motivation_test/generate_midterm_plots.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,summary_table,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,5,",",utf-8,"Baseline,Detection Delay,Overhead,Supports Root Cause Localization,Performance under Gray Failure",relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",legacy_prototype,SYNTHETIC_PROTOTYPE,Located in archive/ prototype directory with 1s coarse simulation logs.,archive_to_synthetic_prototypes,HIGH,False
data/active_backends.json,active_backends.json,.json,2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,Jisheng Jiang (jisheng3),scripts/campaign_a_orchestrator.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,active_backends,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,0,N/A,utf-8,N/A,relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",legacy_demo,LEGACY_DEMO,Short local test file for script validation.,archive_to_legacy_scripts,HIGH,False
data/campaign_d_duel_results.json,campaign_d_duel_results.json,.json,219,080339e2f909aaa432ddd3643d6247e79015128b7cc59ab0892814ae612e7e26,Jisheng Jiang (jisheng3),scripts/campaign_a_orchestrator.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,campaign_d_duel_results,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,2,N/A,utf-8,strawman|smart,relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",none,UNKNOWN,,flag_for_manual_review,MEDIUM,True
data/campaign_d_results.json,campaign_d_results.json,.json,472,fadf400560582efa2508e580ce6e20a58ead790de59fe29ab9e49ec21f680970,Jisheng Jiang (jisheng3),scripts/campaign_a_orchestrator.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,campaign_d_results,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,2,N/A,utf-8,strawman|smart,relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",none,UNKNOWN,,flag_for_manual_review,MEDIUM,True
data/cluster_results.json,cluster_results.json,.json,1055,bd635231caa5e06d4e731354fe8eef8855c7c0c9cfacafec42a91fa26bf8bdb8,Jisheng Jiang (jisheng3),scripts/campaign_a_orchestrator.py,Cluster_Telemetry,exp_cluster_telemetry,cluster_results,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,2,N/A,utf-8,sp26-cs525-0605.cs.illinois.edu|sp26-cs525-0606.cs.illinois.edu,relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",none,UNKNOWN,,flag_for_manual_review,MEDIUM,True
data/deploy_status.json,deploy_status.json,.json,867,51ad6436340858c57c6733a24c31646126f27e61041a808e8a23742cf31a653c,Jisheng Jiang (jisheng3),scripts/campaign_a_orchestrator.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,deploy_status,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,17,N/A,utf-8,sp26-cs525-0615.cs.illinois.edu|sp26-cs525-0613.cs.illinois.edu|sp26-cs525-0617.cs.illinois.edu|sp26-cs525-0619.cs.illinois.edu|sp26-cs525-0608.cs.illinois.edu|sp26-cs525-0606.cs.illinois.edu|sp26-cs525-0605.cs.illinois.edu|sp26-cs525-0614.cs.illinois.edu|sp26-cs525-0618.cs.illinois.edu|sp26-cs525-0607.cs.illinois.edu|sp26-cs525-0612.cs.illinois.edu|sp26-cs525-0609.cs.illinois.edu|sp26-cs525-0604.cs.illinois.edu|sp26-cs525-0611.cs.illinois.edu|sp26-cs525-0616.cs.illinois.edu,relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",none,UNKNOWN,,flag_for_manual_review,MEDIUM,True
data/investigation_results.json,investigation_results.json,.json,954,35ecd1d7273c2609baf5da2e7e5496aea08e5c700d5f8758e501597641425b25,Jisheng Jiang (jisheng3),scripts/campaign_a_orchestrator.py,Infrastructure_Benchmark,exp_infrastructure_benchmark,investigation_results,sp26-cs525-0601 (gateway),sp26-cs525-0605..0620 (triton),Cluster Telemetry,fail-slow (tc delay 50-200ms),N/A,N/A,N/A,2,N/A,utf-8,sp26-cs525-0605.cs.illinois.edu|sp26-cs525-0606.cs.illinois.edu,relative_seconds,microseconds,event-driven,float64,"latency: ms, payload: bytes",none,UNKNOWN,,flag_for_manual_review,MEDIUM,True
